they | they | person:Pronoun | arrested | arrest | Michael Stewart | Michael Stewart | person:Stanford
The apparel community | community |  | will become | become | aware of Ms. McClanahan 's fiber involvement | involvement | 
The apparel community | community |  | will become aware of | become of | Ms. McClanahan 's fiber involvement | involvement | 
The apparel community | community |  | will become aware in | become in | a four-color version | version | 
The apparel community | community |  | will become aware on | become on | Friday | Friday | time_unit:Stanford,time_unit:Day
five full-page ads | ad |  | running in | run in | Woman 's Wear Daily | Wear Daily | 
Patti Munzer | Patti Munzer | person:Stanford | be group manager of | be group manager of | marketing communications of Celanese Fibers | communication | 
A major reason | reason |  | is to support | be to support | the manufacturers who , it is hoped | manufacturer | business:WordNet,organization:WordNet
Ms. McClanahan | Ms. McClanahan | person:Stanford | will not hesitate to drop | hesitate to drop | a name or two | name | 
Ms. McClanahan | Ms. McClanahan | person:Stanford | to drop | to drop | a name or two | name | 
Celanese | Celanese |  | must be pretty serious about | be about | the 50-to-65 group | group | 
Ms. McClanahan | Ms. McClanahan | person:Stanford | is of | be of | greater stature | stature | 
Ms. McClanahan | Ms. McClanahan | person:Stanford | is than | be than | such past spokesmen | spokesman | person:WordNet
City Council President Andrew J. Stein | City Council President Andrew J. Stein | person:Stanford | called on | call on | the head of the city 's hospital system | head | 
City Council President Andrew J. Stein | City Council President Andrew J. Stein | person:Stanford | called to block | call to block | the award of a new city ambulance contract | award | 
City Council President Andrew J. Stein | City Council President Andrew J. Stein | person:Stanford | called after | call after | one company | company | organization:WordNet
City Council President Andrew J. Stein | City Council President Andrew J. Stein | person:Stanford | to block | to block | the award of a new city ambulance contract | award | 
Seven other manufacturers | manufacturer | business:WordNet,organization:WordNet | submitted | submit | formal replies | reply | 
Seven other manufacturers | manufacturer | business:WordNet,organization:WordNet | submitted formal replies to | submit reply to | the city 's proposal | proposal | 
Seven other manufacturers | manufacturer | business:WordNet,organization:WordNet | submitted formal replies expressing | submit reply express | interest | interest | 
Seven other manufacturers | manufacturer | business:WordNet,organization:WordNet | submitted formal replies to contract | submit reply to contract | terms that they said were impossible to meet | term | 
Professional Vehicle Sales Inc. | Inc. | organization:Stanford | be the Bronx distributor of | be Bronx distributor of | ambulances made by the Horton Company of Columbus , Ohio | Horton Company | organization:Stanford
ambulances | ambulance |  | be made by | be make by | the Horton Company of Columbus | Horton Company | organization:Stanford
The only bidder | bidder | person:WordNet | submitted | submit | a bid of $ 89,000 | bid | 
Professional Vehicle Sales Inc. | Inc. | organization:Stanford | submitted | submit | a bid of $ 89,000 | bid | 
the bidding process and the ambulance requirements | process | activity:WordNet | may have stifled | stifle | competition | competition | 
the bidding process and the ambulance requirements | process | activity:WordNet | may have stifled competition reducing | stifle competition reduce | the number of potential bidders | bidder | person:WordNet
the bidding process and the ambulance requirements | process | activity:WordNet | may have stifled competition raising | stifle competition raise | the costs | cost | 
the bidding process and the ambulance requirements | process | activity:WordNet | may have stifled competition raising the costs to | stifle competition raise cost to | the city | city | location:WordNet
Mr. Stein | Mr. Stein | person:Stanford | said in | say in | a letter | letter | 
Mr. Stein | Mr. Stein | person:Stanford | said | say | a letter | letter | 
The stringent terms | term |  | included | include | tight delivery schedules , engineering requirements and excessive guarantees of performance | guarantee | 
the agency | agency | organization:WordNet | would consider rebidding | consider rebid | the contract | contract | 
The Queens District Attorney and the City Department of Investigation | Queens District Attorney | organization:Stanford | are examining | be examine | the award of a 1984 contract | award | 
City Comptroller Harrison J. Goldin | City Comptroller Harrison J. Goldin | person:Stanford | released | release | an engineering study criticizing the way | way | 
the city | city | location:WordNet | disqualified | disqualify | the low bidder | bidder | person:WordNet
the city | city | location:WordNet | disqualified the low bidder in | disqualify bidder in | the 1984 bidding | bidding | 
City Comptroller Harrison J. Goldin | City Comptroller Harrison J. Goldin | person:Stanford | Wheeled | Wheeled | Coach of Orlando | Coach | location:Stanford
City Comptroller Harrison J. Goldin | City Comptroller Harrison J. Goldin | person:Stanford | made | make | the award | award | 
City Comptroller Harrison J. Goldin | City Comptroller Harrison J. Goldin | person:Stanford | made the award to | make award to | Horton | Horton | location:Stanford
the city | city | location:WordNet | disqualified then | disqualify | the low bidder | bidder | person:WordNet
it | it |  | could not meet | meet | weight requirements | requirement | 
Horton | Horton | location:Stanford,person:Stanford | to match | to match | them | they | person:Pronoun
Richard Gregory | Richard Gregory | person:Stanford | be a distributor for | be distributor for | Collins Ambulance of Hutchinson | Collins Ambulance | organization:Stanford
a company | company | organization:WordNet | be interested in | be interest in | the new contract | contract | 
the specifications | specification |  | favor | favor | Horton | Horton | location:Stanford,person:Stanford
James T. Kerr | James T. Kerr | person:Stanford | be the director of | be director of | the city 's Emergency Medical Services | Emergency Medical Services | organization:Stanford
the specifications | specification |  | favor | favor | any manufacturer | manufacturer | business:WordNet,organization:WordNet
Mr. Kerr | Mr. Kerr | person:Stanford | also disputed | dispute | Mr. Goldin 's report | report | 
none of the Horton vehicles | none |  | met | meet | the weight limits | limit | 
ABOUT two hours | hour | time_unit:WordNet | developed | develop | aches | ache | 
ABOUT two hours | hour | time_unit:WordNet | developed aches in | develop ache in | her legs severe enough | leg | 
Her 64-year-old father | father | person:WordNet | never even got to | get to | the store | store | structure:WordNet
he | he | person:Pronoun | was walking the pains in his legs forced him to stop so often that he decided to turn back | be walk pain in leg force to stop that decide to turn | the six blocks | block | 
he | he | person:Pronoun | was walking the pains in his legs forced him to stop so often that he decided to turn back from | be walk pain in leg force to stop that decide to turn from | his car | car | 
he | he | person:Pronoun | was walking the six blocks from | be walk block from | his car | car | 
he | he | person:Pronoun | was walking the six blocks | be walk block | the pains | pain | 
Betsy 's husband | husband | person:WordNet | also had aching | ache | legs | leg | 
Betsy 's husband | husband | person:WordNet | seemed to | seem to | Betsy | Betsy | location:Stanford,person:Stanford
it | it |  | seemed to | seem to | Betsy | Betsy | location:Stanford,person:Stanford
most people | people | person:People | do n't seek | seek | medical help | help | activity:WordNet
the pain persists | persist |  | accept | accept | leg pain | pain | 
the pain persists | persist |  | accept leg pain as | accept leg pain as | a natural consequence of their condition | consequence | effect:WordNet
Betsy | Betsy | location:Stanford,person:Stanford | works as | work as | a caterer | caterer | person:WordNet
she | she | person:Pronoun | was on | be on | her feet | foot | 
She | She | person:Pronoun | had put up with | put up with | the discomfort | discomfort | 
She | She | person:Pronoun | had put up for | put up for | almost a year | year | time_period:WordNet
the pain | pain |  | was so bad before | be before | the holidays | holiday | time_period:WordNet
she | she | person:Pronoun | finally saw | see | the doctor | doctor | person:WordNet
He | He | person:Pronoun | diagnosed | diagnose | varicose veins and prescribed remedies that brought significant relief | vein | 
Leg pain | pain |  | is | be | a symptom , not | symptom | 
Its causes | cause |  | can vary to | vary to | the life-threatening | life-threatening | 
